@relation 'TimeRaptors4CSC523.py F20172018_Date_WS_Temp_Vis_Total_Num_Rnd.arff F20172018_Deltas_WS_Temp_Vis_Total_Num.arff'
% ARFF file generated @ 2020-11-08 18:16:32.160156
@attribute datetime string
@attribute WindSpdKmh numeric
@attribute Temp numeric
@attribute Visibility numeric
@attribute TOTAL numeric
@data
'2017-09-20 08:00:00',8.5,22,20,78
'2018-11-25 08:00:00',8.5,5,9,0
'2018-11-15 11:00:00',8.5,-3,33,1
'2018-12-01 14:00:00',3,3,10,0
'2017-10-12 16:00:00',15.5,11,30,28
'2018-08-27 06:45:00',8.5,21,1,0
'2017-08-24 12:00:00',8.5,22,50,2
'2018-11-25 12:00:00',8.5,7,15,13
'2017-12-13 13:00:00',33.5,-5,77,5
'2018-09-28 13:00:00',3,20,77,83
'2018-09-27 07:00:00',8.5,13,15,3
'2018-09-15 07:00:00',8.5,18,?,0
'2017-10-31 13:00:00',8.5,9,77,11
'2017-09-23 06:00:00',8.5,0,33,43
'2018-10-15 13:00:00',8.5,14,0,2
'2018-11-07 07:00:00',15.5,6,33,5
'2017-09-01 13:00:00',8.5,18,33,5
'2017-10-06 12:00:00',8.5,21,33,11
'2018-10-30 13:00:00',8.5,8,77,38
'2017-09-27 15:00:00',3,26,77,7
'2018-11-22 12:00:00',15.5,-6,33,2
'2018-11-07 08:00:00',15.5,6,33,7
'2018-11-14 11:00:00',15.5,3,77,5
'2017-10-01 11:00:00',0,25,77,8
'2018-10-26 11:00:00',3,6,45,24
'2017-10-22 06:00:00',0,16,33,0
'2017-09-25 11:00:00',0,0,0,4
'2017-12-12 08:00:00',3,2,3,0
'2017-10-09 15:00:00',8.5,23,13,2
'2018-10-13 13:00:00',8.5,10,77,121
'2017-11-27 15:00:00',3,5,40,1
'2018-10-04 08:00:00',15.5,15,1,0
'2017-09-02 10:00:00',15.5,10,51,4
'2018-10-12 11:00:00',15.5,13,77,69
'2018-08-25 13:00:00',0,25,20,10
'2018-12-05 12:00:00',0,-2,20,2
'2017-09-29 13:00:00',8.5,16,33,13
'2017-12-08 11:00:00',0,1,7,1
'2018-11-02 13:00:00',8.5,17,50,1
'2018-12-15 15:00:00',24,6,15,0
'2017-09-11 07:00:00',3,10,33,2
'2017-11-08 11:00:00',3,5,13,5
'2017-08-23 15:00:00',3,24,35,5
'2018-10-10 06:45:00',3,20,0.5,0
'2017-11-26 13:00:00',8.5,5,77,4
'2017-12-21 10:00:00',?,?,?,1
'2017-09-22 08:00:00',3,19,9,3
'2018-11-19 15:00:00',3,5,12,0
'2017-10-05 12:00:00',3,25,20,11
'2017-11-13 14:00:00',3,4,10,0
'2017-09-30 14:00:00',15.5,12,50,5
'2018-09-04 12:00:00',3,29,40,1
'2017-09-14 09:00:00',3,19,5,2
'2018-11-11 10:00:00',3,2,33,8
'2018-09-20 16:00:00',15.5,16,10,5
'2018-12-18 09:00:00',8.5,-3,77,0
'2018-08-19 13:00:00',0,20,77,0
'2017-10-13 15:00:00',8.5,12,1,0
'2017-08-26 09:00:00',8.5,20,77,14
'2018-08-21 12:00:00',15.5,21,7,2
'2017-08-25 09:00:00',8.5,16,33,7
'2017-12-01 07:00:00',8.5,2,33,0
'2018-11-08 11:00:00',3,8,30,21
'2018-10-10 12:00:00',3,25,5,48
'2018-12-08 10:00:00',8.5,-3,33,1
'2017-12-09 10:00:00',8.5,-3,1,0
'2018-12-03 12:00:00',24,6,77,2
'2017-08-31 05:00:00',8.5,17,15,0
'2018-11-04 07:00:00',8.5,3,77,0
'2017-09-29 08:00:00',3,11,33,1
'2018-08-24 12:00:00',3,29,16,2
'2018-11-19 10:00:00',0,4,2,0
'2017-10-26 10:00:00',8.5,14,18,29
'2018-11-30 09:00:00',0,0,50,1
'2018-11-13 15:00:00',15.5,3,20,3
'2017-10-13 10:00:00',15.5,10,13,5
'2018-11-25 15:00:00',15.5,8,33,5
'2018-08-23 15:00:00',15.5,22,33,10
'2017-09-26 06:00:00',8.5,17,33,0
'2018-11-08 16:00:00',3,6,30,1
'2018-11-20 08:15:00',3,5,5,0
'2018-11-29 07:30:00',15.5,-3,9,0
'2018-08-18 15:00:00',15.5,27,40,1
'2018-12-08 09:00:00',8.5,-6,33,0
'2017-11-27 12:00:00',0,5,33,5
'2017-09-03 09:00:00',0,13,?,0
'2018-12-13 11:00:00',8.5,1,9,0
'2017-09-22 13:00:00',8.5,24,33,15
'2017-11-16 11:00:00',3,7,13,0
'2018-11-07 14:00:00',15.5,11,33,1
'2017-12-13 14:00:00',24,-6,77,2
'2018-09-11 14:00:00',3,21,3,0
'2017-12-03 08:00:00',8.5,2,2.9,0
'2017-12-14 12:00:00',24,-3,77,5
'2018-08-18 11:00:00',8.5,0,15,2
'2017-10-28 13:00:00',8.5,17.5,42,10
'2018-10-27 12:00:00',24,4,13,1
'2018-09-05 08:00:00',3,26,30,5
'2017-09-21 15:00:00',3,18,30,19
'2018-11-09 09:00:00',15.5,2,1,1
'2017-10-17 09:00:00',3,8,70,6
'2018-11-08 14:00:00',3,8,30,10
'2017-11-24 13:00:00',3,5.9,70,6
'2018-10-23 08:00:00',3,8,15,20
'2017-11-13 15:00:00',0,4,10,0
'2017-09-20 11:00:00',8.5,26,20,2
'2017-09-04 11:00:00',3,24,10,12
'2017-09-30 07:00:00',15.5,10,50,9
'2018-11-02 08:00:00',15.5,17,5,0
'2017-09-30 06:00:00',8.5,11,40,6
'2017-08-25 11:00:00',8.5,19,33,7
'2017-12-12 13:00:00',3,3,7,0
'2017-10-16 11:00:00',8.5,11,45,53
'2018-09-27 09:00:00',3,14,20,158
'2018-10-08 13:00:00',15.5,18,?,0
'2018-10-18 09:00:00',15.5,9,25,85
'2018-08-26 12:00:00',3,27,33,3
'2018-10-04 06:00:00',3,15,13,4
'2018-09-23 14:00:00',0,22,51,156
'2018-11-04 09:00:00',8.5,5,77,8
'2017-12-01 08:00:00',8.5,2,33,0
'2017-12-04 08:00:00',3,3,2,0
'2018-09-22 09:00:00',8.5,17,12,38
'2017-11-29 07:45:00',8.5,5,33,0
'2018-09-06 13:00:00',3,33,10,6
'2018-11-01 10:00:00',3,20,5,3
'2017-11-24 15:00:00',3,4.5,70,3
'2018-10-03 12:00:00',8.5,20,33,24
'2017-08-28 08:00:00',3,18,15,0
'2017-09-26 10:00:00',3,26,33,12
'2018-11-10 10:00:00',15.5,-1,50,13
'2018-11-07 06:45:00',15.5,6,33,1
'2017-08-25 14:00:00',3,23,33,3
'2018-11-11 15:00:00',3,2,33,5
'2017-11-28 10:00:00',8.5,4,25,5
'2018-12-12 14:00:00',3,1,13,0
'2018-09-24 06:00:00',8.5,14,13,2
'2018-12-03 14:00:00',15.5,6,77,2
'2017-11-15 11:00:00',3,6,5,0
'2017-10-06 14:00:00',8.5,22,33,23
'2018-08-21 09:00:00',3,19,?,0
'2018-11-02 07:00:00',15.5,17,7,0
'2018-09-19 07:00:00',8.5,19,3,10
'2017-10-25 13:00:00',0,15,20,6
'2017-08-18 07:00:00',8.5,22,?,0
'2017-09-29 16:00:00',3,15,33,5
'2017-12-01 10:00:00',8.5,5,33,1
'2018-11-17 13:00:00',8.5,3,9,5
